rel	e1_loc	e1_type	e2_loc	e2_type	sent
Is_Functionally_Equivalent_To	34,35	Protein	33	Protein	We showed that LEC2 RNA accumulates primarily during seed development , consistent with our finding that LEC2 shares greatest similarity with the B3 domain transcription factors that act primarily in developing seeds , VIVIPAROUS1 / ABA INSENSITIVE3 and FUSCA3 .
Regulates_Expression	13	Development_Phase	3	Gene	We cloned the LEC2 gene and showed that it is expressed preferentially during embryogenesis and encodes a protein with similarity to other seed-specific transcription factors .
Transcribes_Or_Translates_To	0	Gene	8,9,10,11	Protein	FUS3 also encodes a regulatory protein : a B3 domain transcription factor that accumulates primarily during seed development ( 19 ) .
Transcribes_Or_Translates_To	3	Gene	20,21	Protein_Domain	We cloned the LEC2 gene on the basis of its chromosomal position and showed that the predicted polypeptide contains a B3 domain , a DNA-binding motif unique to plants that is characteristic of several transcription factors .
Exists_In_Genotype	3	Gene	28	Genotype	We cloned the LEC2 gene on the basis of its chromosomal position and showed that the predicted polypeptide contains a B3 domain , a DNA-binding motif unique to plants that is characteristic of several transcription factors .
Exists_In_Genotype	20,21	Protein_Domain	28	Genotype	We cloned the LEC2 gene on the basis of its chromosomal position and showed that the predicted polypeptide contains a B3 domain , a DNA-binding motif unique to plants that is characteristic of several transcription factors .
Exists_In_Genotype	5	Gene	1	Genotype	The Arabidopsis LEAFY COTYLEDON2 ( LEC2 ) gene is a central embryonic regulator that serves critical roles both early and late during embryo development .
Regulates_Expression	31	Development_Phase	16	Gene_Family	Unlike most other embryonic regulators that function during specific stages of embryogenesis ( 8-11 ) , LEC genes are unique in that they are required for normal development during both the morphogenesis and maturation phases .
Regulates_Expression	0,1,2	Development_Phase	4	Gene_Family	Early in embryogenesis , LEC genes are required to specify suspensor cell fate and cotyledon identity ( 12-16 ) .
Regulates_Expression	10,11	Development_Phase	4	Gene_Family	Late in embryogenesis , LEC genes are needed during the maturation phase for the acquisition of desiccation tolerance and the expression of many maturation-specific genes ( 13-17 ) .
Regulates_Expression	33,34	Development_Phase	16	Gene_Family	Unlike most other embryonic regulators that function during specific stages of embryogenesis ( 8-11 ) , LEC genes are unique in that they are required for normal development during both the morphogenesis and maturation phases .
Regulates_Process	21	Tissue	8,9	Pathway	During this late phase , reserves such as storage proteins and lipids are synthesized at high rates and accumulate in the seed .
Regulates_Process	31	Development_Phase	26,27	Regulatory_Network	Unlike most other embryonic regulators that function during specific stages of embryogenesis ( 8-11 ) , LEC genes are unique in that they are required for normal development during both the morphogenesis and maturation phases .
Regulates_Process	17	Tissue	18,19,20,21,22	Regulatory_Network	Consistent with the finding that conditions that promote maturation suppress germination ( 6 ) , lec mutant embryos prematurely activate the postgermination program ( 13 , 15 , 16 , 18 ) .
Regulates_Process	0,1,2	Development_Phase	10,11,12	Regulatory_Network	Early in embryogenesis , LEC genes are required to specify suspensor cell fate and cotyledon identity ( 12-16 ) .
Regulates_Development_Phase	1	Genotype	18,22,23	Development_Phase	The Arabidopsis LEAFY COTYLEDON2 ( LEC2 ) gene is a central embryonic regulator that serves critical roles both early and late during embryo development .
Regulates_Process	12	Genotype	24,25,26,27,28,29,30	Regulatory_Network	During the early morphogenesis phase , the basic body plan of the plant is established with expression of polarity as a shoot-root axis , specification of morphological domains within the embryo , and formation of embryonic tissue and organ systems ( 2-4 ) .
Regulates_Process	9	Tissue	12,13,14,15	Regulatory_Network	It is also during the maturation phase that the embryo acquires the ability to withstand desiccation at the final stage of seed development .
Regulates_Process	10,11	Development_Phase	14,15,16,17	Regulatory_Network	Late in embryogenesis , LEC genes are needed during the maturation phase for the acquisition of desiccation tolerance and the expression of many maturation-specific genes ( 13-17 ) .
Regulates_Process	21	Tissue	8,11	Pathway	During this late phase , reserves such as storage proteins and lipids are synthesized at high rates and accumulate in the seed .
Regulates_Development_Phase	1	Genotype	20,22,23	Development_Phase	The Arabidopsis LEAFY COTYLEDON2 ( LEC2 ) gene is a central embryonic regulator that serves critical roles both early and late during embryo development .
Regulates_Process	33,34	Development_Phase	26,27	Regulatory_Network	Unlike most other embryonic regulators that function during specific stages of embryogenesis ( 8-11 ) , LEC genes are unique in that they are required for normal development during both the morphogenesis and maturation phases .
Regulates_Process	12	Genotype	33,34,38,39	Regulatory_Network	During the early morphogenesis phase , the basic body plan of the plant is established with expression of polarity as a shoot-root axis , specification of morphological domains within the embryo , and formation of embryonic tissue and organ systems ( 2-4 ) .
Regulates_Process	12	Genotype	33,34,35,36	Regulatory_Network	During the early morphogenesis phase , the basic body plan of the plant is established with expression of polarity as a shoot-root axis , specification of morphological domains within the embryo , and formation of embryonic tissue and organ systems ( 2-4 ) .
Regulates_Process	12	Genotype	16,17,18,19,20,21,22	Regulatory_Network	During the early morphogenesis phase , the basic body plan of the plant is established with expression of polarity as a shoot-root axis , specification of morphological domains within the embryo , and formation of embryonic tissue and organ systems ( 2-4 ) .
Is_Member_Of_Family	14	Protein	18,19	Protein_Family	ABI3 is a transcription factor that operates primarily during the maturation phase , whereas LEC2 and FUS3 are LEAFY COTYLEDON proteins required for processes during both the morphogenesis and maturation phases .
Is_Member_Of_Family	16	Protein	18,19	Protein_Family	ABI3 is a transcription factor that operates primarily during the maturation phase , whereas LEC2 and FUS3 are LEAFY COTYLEDON proteins required for processes during both the morphogenesis and maturation phases .
Regulates_Development_Phase	19	Protein	68,69	Development_Phase	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development . Although they all play roles in seed development , their specific functions have diverged .
Regulates_Development_Phase	0	Protein	10,11	Development_Phase	ABI3 is a transcription factor that operates primarily during the maturation phase , whereas LEC2 and FUS3 are LEAFY COTYLEDON proteins required for processes during both the morphogenesis and maturation phases .
Regulates_Development_Phase	14	Protein	27	Development_Phase	ABI3 is a transcription factor that operates primarily during the maturation phase , whereas LEC2 and FUS3 are LEAFY COTYLEDON proteins required for processes during both the morphogenesis and maturation phases .
Regulates_Development_Phase	14	Protein	29,30	Development_Phase	ABI3 is a transcription factor that operates primarily during the maturation phase , whereas LEC2 and FUS3 are LEAFY COTYLEDON proteins required for processes during both the morphogenesis and maturation phases .
Regulates_Process	22	Protein	56,57,58,59,60	Regulatory_Network	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development .
Regulates_Process	19	Protein	56,57,58,59,60	Regulatory_Network	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development .
Regulates_Development_Phase	22	Protein	68,69	Development_Phase	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development . Although they all play roles in seed development , their specific functions have diverged .
Regulates_Development_Phase	17	Protein	68,69	Development_Phase	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development . Although they all play roles in seed development , their specific functions have diverged .
Regulates_Development_Phase	16	Protein	29,30	Development_Phase	ABI3 is a transcription factor that operates primarily during the maturation phase , whereas LEC2 and FUS3 are LEAFY COTYLEDON proteins required for processes during both the morphogenesis and maturation phases .
Regulates_Development_Phase	16	Protein	27	Development_Phase	ABI3 is a transcription factor that operates primarily during the maturation phase , whereas LEC2 and FUS3 are LEAFY COTYLEDON proteins required for processes during both the morphogenesis and maturation phases .
Regulates_Process	17	Protein	56,57,58,59,60	Regulatory_Network	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development .
Is_Protein_Domain_Of	3,4	Protein_Domain	8	Protein	Many proteins containing B3 domains , including ABI3/ VP1 , FUS3 , and AUXIN RESPONSE FACTOR1 , function as transcription factors ( 20 , 33 , 34 ) .
Is_Protein_Domain_Of	3,4	Protein_Domain	9	Protein	Many proteins containing B3 domains , including ABI3/VP1 , FUS3 , and AUXIN RESPONSE FACTOR1 , function as transcription factors ( 20 , 33 , 34 ) .
Is_Protein_Domain_Of	3,4	Protein_Domain	12,13,14	Protein	Many proteins containing B3 domains , including ABI3/VP1 , FUS3 , and AUXIN RESPONSE FACTOR1 , function as transcription factors ( 20 , 33 , 34 ) .
Exists_At_Stage	19	Protein	49	Development_Phase	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development .
Is_Protein_Domain_Of	1,2	Protein_Domain	18	Protein	The B3 domain is an ≈120-amino acid residue region defined originally as the third basic region of maize VP1 , which shares the largest contiguous block of sequence identity with its ortholog , Arabidopsis ABI3 ( 10 ) .
Is_Protein_Domain_Of	3,4	Protein_Domain	7	Protein	Many proteins containing B3 domains , including ABI3 /VP1 , FUS3 , and AUXIN RESPONSE FACTOR1 , function as transcription factors ( 20 , 33 , 34 ) .
Is_Protein_Domain_Of	1,2	Protein_Domain	34	Protein	The B3 domain is an ≈120-amino acid residue region defined originally as the third basic region of maize VP1 , which shares the largest contiguous block of sequence identity with its ortholog , Arabidopsis ABI3 ( 10 ) .
Exists_In_Genotype	5,6,7	Protein_Domain	11	Genotype	To our knowledge , the B3 DNA-binding domain is unique to plants .
Is_Protein_Domain_Of	3,4	Protein_Domain	0	Protein	LEC2 Possesses a B3 Domain Characteristic of Transcription Factors .
Is_Protein_Domain_Of	1,2	Protein_Domain	52,53,54	Protein	The B3 domain is an ≈120-amino acid residue region defined originally as the third basic region of maize VP1 , which shares the largest contiguous block of sequence identity with its ortholog , Arabidopsis ABI3 ( 10 ) . Subsequently , this domain was identified in other plant proteins , such as AUXIN RESPONSE FACTOR1 ( 34 ) and RELATED TO ABI3/VP1 ( 32 ) .
Is_Protein_Domain_Of	1,2	Protein_Domain	59,60,61	Protein	The B3 domain is an ≈120-amino acid residue region defined originally as the third basic region of maize VP1 , which shares the largest contiguous block of sequence identity with its ortholog , Arabidopsis ABI3 ( 10 ) . Subsequently , this domain was identified in other plant proteins , such as AUXIN RESPONSE FACTOR1 ( 34 ) and RELATED TO ABI3/VP1 ( 32 ) .
Exists_At_Stage	22	Protein	49	Development_Phase	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development .
Exists_At_Stage	17	Protein	49	Development_Phase	Maximum parsimony analysis ( 39 ) of the B3 domains of 48 predicted Arabidopsis proteins suggests that LEC2 , FUS3 , and ABI3 constitute one class , perhaps indicating their common origin ( S.L.S . and J.J.H. , unpublished results ) . All three genes are expressed primarily during embryogenesis and are required genetically for the completion of normal seed development .
Regulates_Expression	21	Development_Phase	4	Gene	Our findings that the LEC2 gene encodes a B3 domain protein ( Fig . 3 ) and is expressed primarily during embryogenesis ( Fig . 4 ) suggest that it , like LEC1 and FUS3 , is a transcriptional regulator of seed development .
Transcribes_Or_Translates_To	4	Gene	8,9,10	Protein_Family	Our findings that the LEC2 gene encodes a B3 domain protein ( Fig . 3 ) and is expressed primarily during embryogenesis ( Fig . 4 ) suggest that it , like LEC1 and FUS3 , is a transcriptional regulator of seed development .
Exists_In_Genotype	18	Protein	17	Genotype	The B3 domain is an ≈120-amino acid residue region defined originally as the third basic region of maize VP1 , which shares the largest contiguous block of sequence identity with its ortholog , Arabidopsis ABI3 ( 10 ) .
Exists_In_Genotype	34	Protein	33	Genotype	The B3 domain is an ≈120-amino acid residue region defined originally as the third basic region of maize VP1 , which shares the largest contiguous block of sequence identity with its ortholog , Arabidopsis ABI3 ( 10 ) .
Exists_In_Genotype	1,2	Protein_Domain	17	Genotype	The B3 domain is an ≈120-amino acid residue region defined originally as the third basic region of maize VP1 , which shares the largest contiguous block of sequence identity with its ortholog , Arabidopsis ABI3 ( 10 ) .
Exists_In_Genotype	1,2	Protein_Domain	33	Genotype	The B3 domain is an ≈120-amino acid residue region defined originally as the third basic region of maize VP1 , which shares the largest contiguous block of sequence identity with its ortholog , Arabidopsis ABI3 ( 10 ) .
Regulates_Process	3,4,5,6,7	Genotype	22,26	Regulatory_Network	First , although seedlings expressing the 35S∷LEC2 gene exhibited a range of morphologies ( Fig . 5 ) , approximately one-third possessed embryonic rather than postgerminative characteristics .
Regulates_Development_Phase	22	Protein	28	Development_Phase	Two consequences of expressing the LEC2 gene postembryonically provide insight into its role in embryo development and strongly support the conclusion that LEC2 is a key regulator of embryogenesis .
Regulates_Process	0	Protein	11,12,13,14	Regulatory_Network	LEC2 and LEC1 obviate the need for hormone treatments in the acquisition of embryogenic competence , suggesting the two LEC transcription factors activate genes that play roles in the initiation of somatic embryogenesis .
Regulates_Process	0,1,2,3,9	Genotype	12,13	Regulatory_Network	Transgenic seedlings ectopically expressing a different LEC gene , LEC1 , have embryonic characteristics that are substantially similar to those of 35S∷LEC2 embryo-like seedlings ( 12 ) .
Regulates_Development_Phase	2,3,4,5	Genotype	10,11	Development_Phase	Moreover , postembryonic expression of LEC1 is sufficient to induce somatic embryogenesis in transgenic plants as occurs with 35S∷LEC2 seedlings , although somatic embryo formation is more robust with LEC2 .
Regulates_Process	1	Gene	8,9,10,11,12,13	Regulatory_Network	Although LEC1 and LEC2 are each sufficient to induce embryogenic competence in somatic cells , they have similar but not identical functions .
Regulates_Process	22,23,24	Genotype	26,27,28	Regulatory_Network	Cotyledons of these seedlings remained fleshy and did not expand , and their roots and hypocotyls did not extend , suggesting that ectopic LEC2 expression can extend embryonic development .
Regulates_Process	5	Gene	18,19,20,21	Regulatory_Network	The ability of LEC2 and LEC1 to induce somatic embryogenesis suggests a role for the genes in the establishment of embryogenic competence .
Regulates_Process	19,20,21	Protein_Family	23,24,25,26,27,28,29,30,31,32	Regulatory_Network	LEC2 and LEC1 obviate the need for hormone treatments in the acquisition of embryogenic competence , suggesting the two LEC transcription factors activate genes that play roles in the initiation of somatic embryogenesis .
Regulates_Process	0,1,2,3,4,5	Genotype	12,13,14,15,16	Regulatory_Network	Recessive mutations in the Arabidopsis PICKLE ( PKL ) gene also induce somatic embryogenesis in postgerminative roots cultured on hormone-free medium ( 40 ) .
Regulates_Process	2	Protein	11,12,13,14	Regulatory_Network	LEC2 and LEC1 obviate the need for hormone treatments in the acquisition of embryogenic competence , suggesting the two LEC transcription factors activate genes that play roles in the initiation of somatic embryogenesis .
Regulates_Process	20	Protein	28,29,30	Regulatory_Network	This result suggests that the chromodomain protein PKL acts normally to repress LEC1 in postgerminative roots , and therefore that LEC1 , at least in part , mediates somatic embryo formation in pkl mutants .
Regulates_Process	3	Gene	18,19,20,21	Regulatory_Network	The ability of LEC2 and LEC1 to induce somatic embryogenesis suggests a role for the genes in the establishment of embryogenic competence .
Regulates_Process	6,7,8	Genotype	18,19,20	Regulatory_Network	Together , these results suggest that ectopic LEC2 expression is sufficient to establish an embryonic environment that promotes somatic embryo formation .
Regulates_Process	3	Gene	7,8,9	Regulatory_Network	The ability of LEC2 and LEC1 to induce somatic embryogenesis suggests a role for the genes in the establishment of embryogenic competence .
Regulates_Process	5	Gene	7,8,9	Regulatory_Network	The ability of LEC2 and LEC1 to induce somatic embryogenesis suggests a role for the genes in the establishment of embryogenic competence .
Regulates_Tissue_Development	29	Gene	22,23	Tissue	Moreover , postembryonic expression of LEC1 is sufficient to induce somatic embryogenesis in transgenic plants as occurs with 35S∷LEC2 seedlings , although somatic embryo formation is more robust with LEC2 .
Regulates_Process	6,7	Tissue	0,1	Regulatory_Network	Embryogenic competence is often induced by culturing cells with the hormone auxin and , sometimes cytokinin , although completion of somatic embryogenesis usually requires removal of the hormone ( s ) .
Regulates_Process	3	Gene	8,9,10,11,12,13	Regulatory_Network	Although LEC1 and LEC2 are each sufficient to induce embryogenic competence in somatic cells , they have similar but not identical functions .
Exists_At_Stage	4,7	RNA	12,13,14	Development_Phase	Our finding that both LEC2 and LEC1 RNAs are detected at the earliest embryonic stages tested ( Fig . 4 ; ref .
Exists_At_Stage	6,7	RNA	12,13,14	Development_Phase	Our finding that both LEC2 and LEC1 RNAs are detected at the earliest embryonic stages tested ( Fig . 4 ; ref .
Has_Sequence_Identical_To	7	Gene	5	Gene	Recessive mutations in the Arabidopsis PICKLE ( PKL ) gene also induce somatic embryogenesis in postgerminative roots cultured on hormone-free medium ( 40 ) .
Regulates_Expression	13	Genotype	7	Gene	Given our results , we hypothesize that LEC2 may also be derepressed in pkl mutants .
Regulates_Expression	7	Protein	12	Gene	This result suggests that the chromodomain protein PKL acts normally to repress LEC1 in postgerminative roots , and therefore that LEC1 , at least in part , mediates somatic embryo formation in pkl mutants .
Regulates_Expression	7	Tissue	2	Gene	However , LEC1 is expressed in the roots of pkl mutant but not wild-type seedlings ( 41 ) .
Exists_In_Genotype	20	Protein	32	Genotype	This result suggests that the chromodomain protein PKL acts normally to repress LEC1 in postgerminative roots , and therefore that LEC1 , at least in part , mediates somatic embryo formation in pkl mutants .
Is_Localized_In	7	Protein	15	Tissue	This result suggests that the chromodomain protein PKL acts normally to repress LEC1 in postgerminative roots , and therefore that LEC1 , at least in part , mediates somatic embryo formation in pkl mutants .
Exists_At_Stage	7	Protein	14	Development_Phase	This result suggests that the chromodomain protein PKL acts normally to repress LEC1 in postgerminative roots , and therefore that LEC1 , at least in part , mediates somatic embryo formation in pkl mutants .
Is_Linked_To	19,20	Environmental_Factor	0,1,2,3,4,5	Genotype	Recessive mutations in the Arabidopsis PICKLE ( PKL ) gene also induce somatic embryogenesis in postgerminative roots cultured on hormone-free medium ( 40 ) .
Regulates_Process	11	Hormone	0,1	Regulatory_Network	Embryogenic competence is often induced by culturing cells with the hormone auxin and , sometimes cytokinin , although completion of somatic embryogenesis usually requires removal of the hormone ( s ) .
Regulates_Process	32	Genotype	28,29,30	Regulatory_Network	This result suggests that the chromodomain protein PKL acts normally to repress LEC1 in postgerminative roots , and therefore that LEC1 , at least in part , mediates somatic embryo formation in pkl mutants .
Regulates_Process	15	Hormone	0,1	Regulatory_Network	Embryogenic competence is often induced by culturing cells with the hormone auxin and , sometimes cytokinin , although completion of somatic embryogenesis usually requires removal of the hormone ( s ) .
Regulates_Expression	9,14	Genotype	2	Gene	However , LEC1 is expressed in the roots of pkl mutant but not wild-type seedlings ( 41 ) .
Regulates_Expression	15	Tissue	12	Gene	This result suggests that the chromodomain protein PKL acts normally to repress LEC1 in postgerminative roots , and therefore that LEC1 , at least in part , mediates somatic embryo formation in pkl mutants .
Regulates_Expression	14	Development_Phase	12	Gene	This result suggests that the chromodomain protein PKL acts normally to repress LEC1 in postgerminative roots , and therefore that LEC1 , at least in part , mediates somatic embryo formation in pkl mutants .
Regulates_Expression	13,14	Genotype	2	Gene	However , LEC1 is expressed in the roots of pkl mutant but not wild-type seedlings ( 41 ) .
Regulates_Expression	13	Gene	4	Gene	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Expression	18	Gene	4	Gene	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Expression	15	Gene	4	Gene	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Process	7,8	Protein_Family	15,16,17,18,19,20	Pathway	We show that MUM4 encodes a putative NDP-l-rhamnose synthase , an enzyme required for the synthesis of the pectin rhamnogalacturonan I , the major component of Arabidopsis mucilage .
Regulates_Process	5,6,7,8	Pathway	15,16,17,18,19,20	Pathway	This result suggests that the synthesis of monosaccharide substrates is a limiting factor in the biosynthesis of pectinaceous seed coat mucilage .
Regulates_Process	2,3,4	Tissue	28,29,30,31	Pathway	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	2,3,4	Tissue	14,20,21,22	Pathway	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	2,3,4	Tissue	16,20,21,22	Pathway	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	0,1,2	Genotype	11,12,13	Pathway	Mutations in MUM4 ( MUCILAGE-MODIFIED4 ) lead to a decrease in seed coat mucilage and incomplete cytoplasmic rearrangement .
Regulates_Process	2,3,4	Tissue	8,9,10	Regulatory_Network	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	19	Genotype	5,6	Regulatory_Network	In addition , the reduced cytoplasmic rearrangement observed in the absence of a key enzyme in pectin biosynthesis in mum4 mutants establishes a causal link between mucilage production and cellular morphogenesis .
Regulates_Process	21	Gene	28,29	Pathway	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Process	2,3,4	Tissue	24,25	Regulatory_Network	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	19	Genotype	16,17	Pathway	In addition , the reduced cytoplasmic rearrangement observed in the absence of a key enzyme in pectin biosynthesis in mum4 mutants establishes a causal link between mucilage production and cellular morphogenesis .
Regulates_Process	23	Gene	28,29	Pathway	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Process	0,1,2	Genotype	16,17	Regulatory_Network	Mutations in MUM4 ( MUCILAGE-MODIFIED4 ) lead to a decrease in seed coat mucilage and incomplete cytoplasmic rearrangement .
Is_Localized_In	15,16,17,18,19,20	Pathway	18,19	Tissue	This result suggests that the synthesis of monosaccharide substrates is a limiting factor in the biosynthesis of pectinaceous seed coat mucilage .
Is_Functionally_Equivalent_To	2	Gene	4	Gene	Mutations in MUM4 ( MUCILAGE-MODIFIED4 ) lead to a decrease in seed coat mucilage and incomplete cytoplasmic rearrangement .
Is_Functionally_Equivalent_To	23,24,25	Gene	21	Gene	The cellular phenotype seen in mum4 mutants is similar to that of several transcription factors ( AP2 [ APETALA2 ] , TTG1 [ TRANSPARENT TESTA GLABRA1 ] , TTG2 MYB61 , and GL2 [ GLABRA2 ] ) .
Is_Functionally_Equivalent_To	18	Gene	16	Gene	The cellular phenotype seen in mum4 mutants is similar to that of several transcription factors ( AP2 [ APETALA2 ] , TTG1 [ TRANSPARENT TESTA GLABRA1 ] , TTG2 MYB61 , and GL2 [ GLABRA2 ] ) .
Is_Functionally_Equivalent_To	34	Gene	32	Gene	The cellular phenotype seen in mum4 mutants is similar to that of several transcription factors ( AP2 [ APETALA2 ] , TTG1 [ TRANSPARENT TESTA GLABRA1 ] , TTG2 MYB61 , and GL2 [ GLABRA2 ] ) .
Transcribes_Or_Translates_To	3	Gene	7,8	Protein_Family	We show that MUM4 encodes a putative NDP-l-rhamnose synthase , an enzyme required for the synthesis of the pectin rhamnogalacturonan I , the major component of Arabidopsis mucilage .
Regulates_Expression	10,11	Tissue	13	Gene	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Expression	10,11	Tissue	18	Gene	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Expression	10,11	Tissue	15	Gene	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Expression	10,11	Tissue	4	Gene	Expression studies suggest that MUM4 is developmentally regulated in the seed coat by AP2 , TTG1 , and GL2 , whereas TTG2 and MYB61 appear to be regulating mucilage production through alternate pathway ( s ) .
Regulates_Process	1	Genotype	28,29,30,31	Pathway	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	1	Genotype	14,20,21,22	Pathway	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	1	Genotype	16,20,21,22	Pathway	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	1	Genotype	8,9,10	Regulatory_Network	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Process	1	Genotype	24,25	Regulatory_Network	The Arabidopsis seed coat epidermis undergoes a complex process of differentiation that includes the biosynthesis and secretion of large quantities of pectinaceous mucilage , cytoplasmic rearrangement , and secondary cell wall biosynthesis .
Regulates_Expression	19	Protein	2	Gene	Furthermore , MUM4 appears to be a downstream target of a cascade of transcription factors that includes AP2 , TTG1 , and GL2 .
Regulates_Expression	22	Protein	2	Gene	Furthermore , MUM4 appears to be a downstream target of a cascade of transcription factors that includes AP2 , TTG1 , and GL2 .
Regulates_Expression	17	Protein	2	Gene	Furthermore , MUM4 appears to be a downstream target of a cascade of transcription factors that includes AP2 , TTG1 , and GL2 .
Regulates_Expression	9,10,11	Development_Phase	4	Gene	Expression studies show that MUM4 is developmentally regulated during seed coat differentiation such that its transcript levels are increased at the time of mucilage production .
Regulates_Expression	16	Protein	36	Gene	It has been shown at the genetic and molecular levels in trichomes and root hairs that TTG1 interacts with a basic helix-loop-helix ( bHLH ) protein and a tissue-specific MYB protein to activate both GL2 and TTG2 ( Payne et al. , 2000 ; Johnson et al. , 2002 ; Schiefelbein , 2003 ) .
